state,county,county_fips,year,group,PM25,PM25_state_avg,PM25_national_avg,DSLPM,DSLPM_state_avg,DSLPM_national_avg,PTRAF,PTRAF_state_avg,PTRAF_national_avg,RESP,RESP_state_avg,RESP_national_avg,PWDIS,PWDIS_state_avg,PWDIS_national_avg,OZONE,OZONE_state_avg,OZONE_national_avg
Arizona,Coconino,04005,2017,Non-DC,4.673659167738164,6.67527128924505,9.123449761737337,0.35945863508979586,1.1277012250192233,0.9535374547148284,98.5922131633089,945.3768901013226,625.8906024943595,0.7523136286223775,1.556594610100855,1.8345251574891492,0.15708550070591457,2.086635227477086,28.554064658330482,48.47870874149285,46.46325937051288,38.33714048992234
Arizona,Coconino,04005,2022,Non-DC,4.838631398702235,7.244231411237297,8.670159453987141,0.0980002644839962,0.31812693932463676,0.29427930597113877,314.06410884756616,572.0906659860287,755.3644806463235,0.17543859649122806,0.365841376416282,0.3605043605613292,0.7167895607075372,6.709321338492957,11.728462828667164,53.97438532278409,54.186142158711384,42.47273178998161
Arizona,Maricopa,04013,2017,DC-heavy,7.306549616624267,6.67527128924505,9.123449761737337,1.5550244084709433,1.1277012250192233,0.9535374547148284,961.8036231138435,945.3768901013226,625.8906024943595,1.8197994680145442,1.556594610100855,1.8345251574891492,0.26798712215844156,2.086635227477086,28.554064658330482,46.67777982834459,46.46325937051288,38.33714048992234
Arizona,Maricopa,04013,2022,DC-heavy,8.111729686581592,7.244231411237297,8.670159453987141,0.42341450060740554,0.31812693932463676,0.29427930597113877,766.8288026763521,572.0906659860287,755.3644806463235,0.4450749464668094,0.365841376416282,0.3605043605613292,1.6609887344296146,6.709321338492957,11.728462828667164,55.61153398949031,54.186142158711384,42.47273178998161
Arizona,Mohave,04015,2017,Non-DC,5.347654858137881,6.67527128924505,9.123449761737337,0.3482192864872881,1.1277012250192233,0.9535374547148284,80.83921609990551,945.3768901013226,625.8906024943595,0.8922442351725,1.556594610100855,1.8345251574891492,0.2273424248734919,2.086635227477086,28.554064658330482,46.58714322034238,46.46325937051288,38.33714048992234
Arizona,Mohave,04015,2022,Non-DC,5.505552949331573,7.244231411237297,8.670159453987141,0.08485861068398769,0.31812693932463676,0.29427930597113877,92.79005970343057,572.0906659860287,755.3644806463235,0.24156626506024098,0.365841376416282,0.3605043605613292,0.5955496181529861,6.709321338492957,11.728462828667164,54.01840208284118,54.186142158711384,42.47273178998161
Arizona,Yavapai,04025,2017,Non-DC,5.066764948089386,6.67527128924505,9.123449761737337,0.21646703958596492,1.1277012250192233,0.9535374547148284,57.22746640824424,945.3768901013226,625.8906024943595,0.6723211993100877,1.556594610100855,1.8345251574891492,63.210657164085674,2.086635227477086,28.554064658330482,48.57787654970526,46.46325937051288,38.33714048992234
Arizona,Yavapai,04025,2022,Non-DC,5.368612018630138,7.244231411237297,8.670159453987141,0.08454034573750065,0.31812693932463676,0.29427930597113877,139.59494761032238,572.0906659860287,755.3644806463235,0.18914285714285714,0.365841376416282,0.3605043605613292,70.47445134960213,6.709321338492957,11.728462828667164,52.882907521942116,54.186142158711384,42.47273178998161
Virginia,Clarke,51043,2017,Non-DC,8.742367671230909,8.331282534954186,9.123449761737337,0.39035682751818185,0.7601089642605912,0.9535374547148284,91.34362259404544,439.1911998535744,625.8906024943595,0.953742124715,1.755320515989164,1.8345251574891492,0.00013423547279751237,2.7954308682937614,28.554064658330482,39.05809484846364,37.74337902592414,38.33714048992234
Virginia,Clarke,51043,2022,Non-DC,7.50981895392279,7.513203549238224,8.670159453987141,0.14888549048531527,0.23738067857145115,0.29427930597113877,50.65914271562404,742.9521679103054,755.3644806463235,0.3,0.361502189289323,0.3605043605613292,0.001000842113915857,7.49903640450501,11.728462828667164,39.190355614973235,40.10984802911647,42.47273178998161
Virginia,Fairfax,51059,2017,DC-heavy,9.159370415602373,8.331282534954186,9.123449761737337,1.0706376884589506,0.7601089642605912,0.9535374547148284,827.9906539042396,439.1911998535744,625.8906024943595,2.4466689421274537,1.755320515989164,1.8345251574891492,0.0026249021644392375,2.7954308682937614,28.554064658330482,37.31269754493667,37.74337902592414,38.33714048992234
Virginia,Fairfax,51059,2022,DC-heavy,8.403977312401503,7.513203549238224,8.670159453987141,0.3540558851895144,0.23738067857145115,0.29427930597113877,1254.7253702313403,742.9521679103054,755.3644806463235,0.40265878877400296,0.361502189289323,0.3605043605613292,0.0046348472342579,7.49903640450501,11.728462828667164,42.39977411745426,40.10984802911647,42.47273178998161
Virginia,Fauquier,51061,2017,Non-DC,8.295779200912778,8.331282534954186,9.123449761737337,0.4883014854916667,0.7601089642605912,0.9535374547148284,125.561797865157,439.1911998535744,625.8906024943595,1.1711045058587222,1.755320515989164,1.8345251574891492,0.0011555702052124242,2.7954308682937614,28.554064658330482,37.923109629622225,37.74337902592414,38.33714048992234
Virginia,Fauquier,51061,2022,Non-DC,7.422027886497064,7.513203549238224,8.670159453987141,0.14191884904424296,0.23738067857145115,0.29427930597113877,199.23072266934227,742.9521679103054,755.3644806463235,0.3,0.361502189289323,0.3605043605613292,0.00040386177989399995,7.49903640450501,11.728462828667164,38.43733182384065,40.10984802911647,42.47273178998161
Virginia,Loudoun,51107,2017,DC-heavy,9.120621548029387,8.331282534954186,9.123449761737337,0.9467663378650307,0.7601089642605912,0.9535374547148284,200.8832472079896,439.1911998535744,625.8906024943595,2.037047744423865,1.755320515989164,1.8345251574891492,0.0005404472344555287,2.7954308682937614,28.554064658330482,38.24151408998159,37.74337902592414,38.33714048992234
